GEOID,Miles to the nearest clinic
53005,14.016317043649694
53007,34.705660926335234
53009,23.295290489396393
53015,38.747541935804456
53025,42.88955965608531
53031,26.105270841118497
53037,26.281141456668394
53043,47.69562847531582
12077,392.025807109798
05061,308.5065117519796
05093,195.6304370368931
05095,278.83335705972803
05099,355.5885344240098
05103,374.77392837693304
05109,316.13522289699506
05117,274.1938441958403
05133,305.7085271948466
05147,245.53238507631903
06045,21.972039366215363
06051,90.9817187019388
24011,14.855678922512547
24033,1.7940545014423976
24043,5.5354302259620125
25007,48.72174813015095
25017,12.389171996497437
26041,248.6704785271684
26099,198.95745472055296
26103,213.56979311355525
26135,245.33755077453844
26147,184.23994300969903
26163,212.36534932820663
27023,108.5097496279983
27053,7.227392508906956
27077,189.30751500164223
27091,102.66306297821116
27129,81.60935329217929
27139,18.588075664294696
27163,15.884270453872409
28007,380.8152585174036
28033,256.8383636309922
28055,407.8585689675399
28075,413.3065927588106
28143,273.11267737403773
28157,518.3068603810392
28163,401.9077030856925
29023,131.9743813345321
29029,119.07040302074458
29031,85.43503240170763
29033,64.13391949141175
17075,48.80152751045301
17129,16.2969564234321
17161,68.55855678397907
17175,23.64527587845726
17185,115.38859913255696
18009,143.86462534776936
18035,150.3034678480152
18067,109.71056626241553
18083,106.28082254288282
18159,116.29759289575148
18175,153.95566609343558
49025,181.96089775872167
05003,386.1186185411047
05007,179.79651454852495
05013,375.12702760688256
05045,271.34506089242467
13051,215.60288154869036
13077,198.69113919285036
13123,123.94058345223915
13133,142.34673656554955
13137,85.74581660417235
13139,112.93031692832602
13143,195.07323961312983
13157,115.1439570464574
13171,194.9700205535507
13181,123.32316767116986
13185,326.6153742441635
13195,106.85514277524396
13213,135.6726339193647
13217,157.9901870100527
13237,162.57800272479352
13245,139.57101729665482
13251,168.9911434923266
13269,230.10623598770812
13279,223.28214153680867
23023,18.71505034138648
23031,25.6977091622843
24001,51.94426580208467
24005,5.891932709800844
24017,21.219125523841583
24021,2.116380614426465
24031,1.584654099665834
24045,2.567274844641408
28149,433.1643193537202
28151,370.5041400986371
29041,93.61742915291772
29069,160.65672398125824
29087,74.22708365498319
29113,50.41468496561792
29159,74.26360396120508
29183,29.196386801036503
29195,76.6340602509311
29197,146.0961657129132
29201,109.07409491355838
30001,233.4331788252726
30013,277.1080010189314
30027,376.4963392949228
30031,299.66102004795437
30045,328.1109257194208
30049,228.3414593792428
30055,489.2934864623443
30059,299.3439360363834
30069,423.3010009539285
30073,236.12667719518183
30083,498.62258336162785
30099,233.36269474811087
31103,310.21540883516474
31151,164.97136787357962
32001,77.2490679965188
32003,6.463914303019246
32015,149.2723945094451
33007,38.43784306465507
33015,13.651978664721383
33017,20.42849204886291
34001,8.145097244557629
34005,17.401230519835813
34015,12.434922336847452
34019,5.492187530778202
34021,4.36883528710066
34025,5.097357379186143
34029,6.343521689523274
34035,9.210248597661248
21229,207.96135393117
21231,151.79656745696715
22035,410.6053006894976
22045,602.9724051089437
22053,571.3048182278166
22055,590.5878695800985
06055,14.154452610336143
06059,5.9076963010526615
06069,24.82300510705571
06073,18.697781985187525
06079,16.40658453830849
06083,28.10438746476517
06097,10.56865919067049
06101,7.45548314361451
06107,59.0926347636232
06113,5.927492628463482
08019,15.904240696343807
08023,27.76692140264962
08031,1.6208642143416383
08037,9.28921889468909
08055,52.676787849769624
01049,199.86161565976204
01063,361.7077346441058
01087,284.5129446172797
01091,378.4394630043222
01095,228.77891024971436
01101,312.58774581489104
01107,353.57475171730965
01115,249.82735855761115
01119,383.6479653439673
01131,368.8740048701692
02090,35.217528673623235
02158,417.71088022290127
02240,151.73614339744
04005,185.5830732338507
04009,188.6702782916331
04013,181.86385851973137
54001,90.3820591583365
54005,105.55683731153634
54021,114.18259540245904
54039,109.21776386174314
54045,111.78647079391791
54047,90.79929378010218
54063,34.49509041253241
54067,80.3402428933087
54087,121.32909028326252
54107,116.88811782187348
55003,76.53474580584388
55043,93.4232845967294
55113,77.56750924886637
56029,311.7012210491629
12086,612.6042952022111
12093,501.84215526696624
12097,464.4246587177463
13021,202.12074165734603
13029,216.8533890801094
39137,187.40163818127292
39175,175.51428544043932
40013,262.5346067840526
40027,170.75106086699955
40057,247.84084685421507
40067,247.99009341153655
40075,212.89952190200563
40095,253.57613834610248
40125,171.45659776813417
40135,205.7437909420811
40143,130.4304772049799
27011,150.96364842682922
27013,68.37794449969803
27031,106.37616672236445
27061,87.77922360901633
27073,138.29338813681977
27075,66.46329510198541
27089,227.136812447891
27097,77.58810283163821
27127,101.41654604573088
27161,55.13757769633247
27171,30.40884600974507
28001,496.73213809122706
28011,335.04017978996785
28029,464.75944552887927
28043,333.1927625657408
28083,348.6111917400935
28087,363.8421118894352
28103,383.6980884518957
28121,436.8093492344856
35015,142.4278129575876
35039,71.55611609753214
35045,56.554706390802096
35055,62.34990956859916
36025,40.06953854244287
36031,22.8470776712185
36103,11.188500937914382
36105,5.839567314295647
36119,8.57422406727371
36123,19.5276820276979
37009,71.72745010307933
37013,100.03086750621118
37017,33.90896319257824
37023,48.6801752105148
37037,17.95711024440452
