long,lat,AFFGEOID,NAME,STATEFP,miles,miles_roe,miles_strict,geoid,B01001026,B17001017,B17001046,pct_women_in_poverty,women_wo_ins,B27001030,pct_women_wo_insurance
-91.21456610234549,35.59922211058361,0500000US05067,Jackson,05,217.83588749882784,74.38117611686626,217.83588749882784,05000US05067,8535,1703,5137,0.2489766081871345,375,6863,0.05464082762640245
-91.027708532636,36.34145903247183,0500000US05121,Randolph,05,166.01808667505608,100.09698329497172,166.01808667505608,05000US05121,8927,1766,6912,0.20350311131597143,425,8747,0.04858808734423231
-121.8888674772482,37.646893227797406,0500000US06001,Alameda,06,1.882791538812602,1.882791538812602,1.882791538812602,05000US06001,844443,84594,745463,0.10191348304995922,30669,839830,0.036518104854553896
-119.820669745648,38.597196767228134,0500000US06003,Alpine,06,54.30521557527628,54.30521557527628,54.30521557527628,05000US06003,540,57,483,0.10555555555555556,43,540,0.07962962962962963
-120.6510933357475,38.446391491107605,0500000US06005,Amador,06,36.45123162390403,36.45123162390403,36.45123162390403,05000US06005,17944,1596,16228,0.08954219030520646,548,17838,0.030720932840004486
-121.92778819191408,37.91912233718671,0500000US06013,Contra Costa,06,6.31887569408343,6.31887569408343,6.31887569408343,05000US06013,586593,52199,529282,0.08976905522278458,25198,584428,0.04311566180949578
-119.64930723797735,36.75819764008805,0500000US06019,Fresno,06,7.643374565356854,7.643374565356854,7.643374565356854,05000US06019,496148,109244,381077,0.22280098139790055,30658,493589,0.06211240526024689
-123.87562886550928,40.699297540509875,0500000US06023,Humboldt,06,14.78949654203344,14.78949654203344,14.78949654203344,05000US06023,68563,13540,53500,0.2019689737470167,4368,68273,0.06397843950024168
-122.75318988621318,39.09961720724347,0500000US06033,Lake,06,11.348849193975571,11.348849193975571,11.348849193975571,05000US06033,32177,6163,25453,0.19493294534412955,1755,31983,0.05487290122877779
-118.2170295059723,34.35891073731498,0500000US06037,Los Angeles,06,13.463304269072394,13.463304269072394,13.463304269072394,05000US06037,5091117,770675,4248211,0.1535549920839007,393881,5066661,0.07773975799841355
-120.7176523128533,37.191889864963954,0500000US06047,Merced,06,16.072020407986603,16.072020407986603,16.072020407986603,05000US06047,135433,28157,104918,0.21158745068570356,8791,134931,0.06515181833677954
-120.76845107181428,39.30136305923049,0500000US06057,Nevada,06,15.013552673769452,15.013552673769452,15.013552673769452,05000US06057,50474,5239,44703,0.10490168595570862,2068,50038,0.04132859027139374
-122.32901653804451,37.422897429607005,0500000US06081,San Mateo,06,7.182990947227466,7.182990947227466,7.182990947227466,05000US06081,386376,26101,357560,0.0680314131485869,12286,384773,0.03193051487500422
-121.6951263091578,37.23178503059815,0500000US06085,Santa Clara,06,9.208928250961694,9.208928250961694,9.208928250961694,05000US06085,949638,74709,860765,0.07986218751135787,35809,945888,0.03785754761663115
-121.35126426384971,39.269007183534754,0500000US06115,Yuba,06,17.20315078978524,17.20315078978524,17.20315078978524,05000US06115,38177,6230,31423,0.16545826361777283,2416,37662,0.06414954065105412
-105.35812318153468,40.0926602202936,0500000US08013,Boulder,08,6.109938128342375,6.109938128342375,6.109938128342375,05000US08013,161339,17485,138459,0.1121235828246037,5809,160486,0.036196303727427936
